_id,ngay,giai,so,basocuoi,haisocuoi,chanle,createdAt,updatedAt,__v,date_obj
6918989adeab5375d2966dcd,28/04/2023,G3b,11485,485,85,CCL,2025-11-15 15:13:30.520,2025-11-15 15:13:30.520,0,2023-04-28
6918989adeab5375d2966dc4,28/04/2023,G2a,75260,260,60,CCC,2025-11-15 15:13:30.305,2025-11-15 15:13:30.305,0,2023-04-28
6918989adeab5375d2966dc7,28/04/2023,G2b,25528,528,28,LCC,2025-11-15 15:13:30.376,2025-11-15 15:13:30.376,0,2023-04-28
6918989adeab5375d2966dc1,28/04/2023,G1,47757,757,57,LLL,2025-11-15 15:13:30.233,2025-11-15 15:13:30.233,0,2023-04-28
6918989adeab5375d2966dbe,28/04/2023,ĐB,13196,196,96,LLC,2025-11-15 15:13:30.161,2025-11-15 15:13:30.161,0,2023-04-28
6918989adeab5375d2966ddc,28/04/2023,G4a,8012,012,12,CLC,2025-11-15 15:13:30.880,2025-11-15 15:13:30.880,0,2023-04-28
6918989adeab5375d2966dca,28/04/2023,G3a,62526,526,26,LCC,2025-11-15 15:13:30.448,2025-11-15 15:13:30.448,0,2023-04-28
6918989adeab5375d2966ddf,28/04/2023,G4b,6085,085,85,CCL,2025-11-15 15:13:30.952,2025-11-15 15:13:30.952,0,2023-04-28
6918989cdeab5375d2966e0c,28/04/2023,G7d,66,66,66,,2025-11-15 15:13:32.033,2025-11-15 15:13:32.033,0,2023-04-28
6918989bdeab5375d2966de5,28/04/2023,G4d,4819,819,19,CLL,2025-11-15 15:13:31.097,2025-11-15 15:13:31.097,0,2023-04-28
6918989bdeab5375d2966e09,28/04/2023,G7c,96,96,96,,2025-11-15 15:13:31.962,2025-11-15 15:13:31.962,0,2023-04-28
6918989bdeab5375d2966e06,28/04/2023,G7b,38,38,38,,2025-11-15 15:13:31.890,2025-11-15 15:13:31.890,0,2023-04-28
6918989bdeab5375d2966e03,28/04/2023,G7a,24,24,24,,2025-11-15 15:13:31.818,2025-11-15 15:13:31.818,0,2023-04-28
6918989bdeab5375d2966e00,28/04/2023,G6c,910,910,10,LLC,2025-11-15 15:13:31.747,2025-11-15 15:13:31.747,0,2023-04-28
6918989bdeab5375d2966dfd,28/04/2023,G6b,308,308,08,LCC,2025-11-15 15:13:31.675,2025-11-15 15:13:31.675,0,2023-04-28
6918989bdeab5375d2966dfa,28/04/2023,G6a,993,993,93,LLL,2025-11-15 15:13:31.604,2025-11-15 15:13:31.604,0,2023-04-28
6918989bdeab5375d2966de2,28/04/2023,G4c,1150,150,50,LLC,2025-11-15 15:13:31.025,2025-11-15 15:13:31.025,0,2023-04-28
6918989bdeab5375d2966df4,28/04/2023,G5e,5653,653,53,CLL,2025-11-15 15:13:31.459,2025-11-15 15:13:31.459,0,2023-04-28
6918989bdeab5375d2966df1,28/04/2023,G5d,3462,462,62,CCC,2025-11-15 15:13:31.388,2025-11-15 15:13:31.388,0,2023-04-28
6918989bdeab5375d2966dee,28/04/2023,G5c,1331,331,31,LLL,2025-11-15 15:13:31.316,2025-11-15 15:13:31.316,0,2023-04-28
6918989bdeab5375d2966deb,28/04/2023,G5b,6500,500,00,LCC,2025-11-15 15:13:31.244,2025-11-15 15:13:31.244,0,2023-04-28
6918989bdeab5375d2966de8,28/04/2023,G5a,0020,020,20,CCC,2025-11-15 15:13:31.172,2025-11-15 15:13:31.172,0,2023-04-28
6918989bdeab5375d2966df7,28/04/2023,G5f,8899,899,99,CLL,2025-11-15 15:13:31.531,2025-11-15 15:13:31.531,0,2023-04-28
69189898deab5375d2966d88,29/04/2023,G3f,22662,662,62,CCC,2025-11-15 15:13:28.840,2025-11-15 15:13:28.840,0,2023-04-29
69189898deab5375d2966d82,29/04/2023,G3d,24224,224,24,CCC,2025-11-15 15:13:28.694,2025-11-15 15:13:28.694,0,2023-04-29
69189898deab5375d2966d7f,29/04/2023,G3c,95705,705,05,LCL,2025-11-15 15:13:28.622,2025-11-15 15:13:28.622,0,2023-04-29
69189898deab5375d2966d7c,29/04/2023,G3b,53656,656,56,CLC,2025-11-15 15:13:28.549,2025-11-15 15:13:28.549,0,2023-04-29
69189898deab5375d2966d76,29/04/2023,G2b,59064,064,64,CCC,2025-11-15 15:13:28.403,2025-11-15 15:13:28.403,0,2023-04-29
69189898deab5375d2966d8b,29/04/2023,G4a,8260,260,60,CCC,2025-11-15 15:13:28.911,2025-11-15 15:13:28.911,0,2023-04-29
69189898deab5375d2966d73,29/04/2023,G2a,41698,698,98,CLC,2025-11-15 15:13:28.331,2025-11-15 15:13:28.331,0,2023-04-29
69189898deab5375d2966d70,29/04/2023,G1,71291,291,91,CLL,2025-11-15 15:13:28.258,2025-11-15 15:13:28.258,0,2023-04-29
69189898deab5375d2966d6d,29/04/2023,ĐB,54639,639,39,CLL,2025-11-15 15:13:28.186,2025-11-15 15:13:28.186,0,2023-04-29
69189898deab5375d2966d79,29/04/2023,G3a,63882,882,82,CCC,2025-11-15 15:13:28.475,2025-11-15 15:13:28.475,0,2023-04-29
69189898deab5375d2966d8e,29/04/2023,G4b,0406,406,06,CCC,2025-11-15 15:13:28.983,2025-11-15 15:13:28.983,0,2023-04-29
69189898deab5375d2966d85,29/04/2023,G3e,25635,635,35,CLL,2025-11-15 15:13:28.767,2025-11-15 15:13:28.767,0,2023-04-29
6918989adeab5375d2966dbb,29/04/2023,G7d,21,21,21,,2025-11-15 15:13:30.088,2025-11-15 15:13:30.088,0,2023-04-29
69189899deab5375d2966d94,29/04/2023,G4d,2455,455,55,CLL,2025-11-15 15:13:29.128,2025-11-15 15:13:29.128,0,2023-04-29
6918989adeab5375d2966db8,29/04/2023,G7c,29,29,29,,2025-11-15 15:13:30.015,2025-11-15 15:13:30.015,0,2023-04-29
69189899deab5375d2966db5,29/04/2023,G7b,31,31,31,,2025-11-15 15:13:29.943,2025-11-15 15:13:29.943,0,2023-04-29
69189899deab5375d2966db2,29/04/2023,G7a,91,91,91,,2025-11-15 15:13:29.871,2025-11-15 15:13:29.871,0,2023-04-29
69189899deab5375d2966daf,29/04/2023,G6c,919,919,19,LLL,2025-11-15 15:13:29.799,2025-11-15 15:13:29.799,0,2023-04-29
69189899deab5375d2966dac,29/04/2023,G6b,603,603,03,CCL,2025-11-15 15:13:29.727,2025-11-15 15:13:29.727,0,2023-04-29
69189899deab5375d2966d91,29/04/2023,G4c,4970,970,70,LLC,2025-11-15 15:13:29.056,2025-11-15 15:13:29.056,0,2023-04-29
69189899deab5375d2966da6,29/04/2023,G5f,1824,824,24,CCC,2025-11-15 15:13:29.584,2025-11-15 15:13:29.584,0,2023-04-29
69189899deab5375d2966da3,29/04/2023,G5e,5507,507,07,LCL,2025-11-15 15:13:29.512,2025-11-15 15:13:29.512,0,2023-04-29
69189899deab5375d2966da0,29/04/2023,G5d,4790,790,90,LLC,2025-11-15 15:13:29.428,2025-11-15 15:13:29.428,0,2023-04-29
